Country,State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Number Of Persons Killed In Road Accident (UOM:Number),Number Of Grievously Injured Persons (UOM:Number),Number Of Minor Injured Persons (UOM:Number),Number Of Total Injured Persons (UOM:Number)
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jodhpur,Foggy & Misty,29,19,3,14,17
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jodhpur,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jodhpur,Others,137,46,7,95,102
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jodhpur,Rainy,1,1,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jodhpur,Sunny/Clear,426,171,53,250,303
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Kota,Foggy & Misty,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Kota,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Kota,Others,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Kota,Rainy,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Kota,Sunny/Clear,368,75,90,277,367
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Chennai,Foggy & Misty,5251,926,1347,3809,5156
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Chennai,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Chennai,Others,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Chennai,Rainy,255,38,47,210,257
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Chennai,Sunny/Clear,1365,288,379,910,1289
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Coimbatore,Foggy & Misty,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Coimbatore,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Coimbatore,Others,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Coimbatore,Rainy,103,9,38,68,106
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Coimbatore,Sunny/Clear,959,123,294,673,967
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Madurai,Foggy & Misty,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Madurai,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Madurai,Others,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Madurai,Rainy,1,1,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Madurai,Sunny/Clear,865,192,5,794,799
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Tiruchirapalli,Foggy & Misty,57,2,6,86,92
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Tiruchirapalli,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Tiruchirapalli,Others,5,3,0,3,3
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Tiruchirapalli,Rainy,117,25,5,124,129
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Tiruchirapalli,Sunny/Clear,338,74,21,340,361
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Chennai,Foggy & Misty,667,132,187,407,594
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Chennai,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Chennai,Others,507,144,143,269,412
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Chennai,Rainy,1655,289,279,1521,1800
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Chennai,Sunny/Clear,1560,307,332,1125,1457
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Coimbatore,Foggy & Misty,53,4,27,29,56
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Coimbatore,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Coimbatore,Others,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Coimbatore,Rainy,111,9,53,61,114
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Coimbatore,Sunny/Clear,543,52,267,285,552
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Madurai,Foggy & Misty,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Madurai,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Madurai,Others,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Madurai,Rainy,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Madurai,Sunny/Clear,530,81,112,387,499
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Tiruchirapalli,Foggy & Misty,9,2,0,11,11
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Tiruchirapalli,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Tiruchirapalli,Others,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Tiruchirapalli,Rainy,32,5,0,38,38
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Tiruchirapalli,Sunny/Clear,357,80,0,352,352
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Chennai,Foggy & Misty,102,32,40,47,87
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Chennai,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Chennai,Others,36,9,23,11,34
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Chennai,Rainy,373,60,192,186,378
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Chennai,Sunny/Clear,4523,897,2818,1703,4521
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Coimbatore,Foggy & Misty,123,33,78,20,98
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Coimbatore,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Coimbatore,Others,4,2,1,2,3
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Coimbatore,Rainy,21,7,13,2,15
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Coimbatore,Sunny/Clear,718,192,479,92,571
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Madurai,Foggy & Misty,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Madurai,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Madurai,Others,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Madurai,Rainy,1,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Madurai,Sunny/Clear,617,154,281,225,506
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Tiruchirapalli,Foggy & Misty,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Tiruchirapalli,Hail/Sleet,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Tiruchirapalli,Others,1,0,0,1,1
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Tiruchirapalli,Rainy,19,2,7,12,19
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Tiruchirapalli,Sunny/Clear,379,128,149,208,357
India,Telangana,"Financial Year (Apr - Mar), 2019",Hyderabad,Foggy & Misty,0,0,0,0,0
India,Telangana,"Financial Year (Apr - Mar), 2019",Hyderabad,Hail/Sleet,0,0,0,0,0
India,Telangana,"Financial Year (Apr - Mar), 2019",Hyderabad,Others,0,0,0,0,0
India,Telangana,"Financial Year (Apr - Mar), 2019",Hyderabad,Rainy,0,0,0,0,0
India,Telangana,"Financial Year (Apr - Mar), 2019",Hyderabad,Sunny/Clear,2900,271,184,2465,2649
India,Telangana,"Financial Year (Apr - Mar), 2020",Hyderabad,Foggy & Misty,16,3,1,15,16
India,Telangana,"Financial Year (Apr - Mar), 2020",Hyderabad,Hail/Sleet,1,0,0,1,1
India,Telangana,"Financial Year (Apr - Mar), 2020",Hyderabad,Others,562,73,22,489,511
India,Telangana,"Financial Year (Apr - Mar), 2020",Hyderabad,Rainy,9,0,0,13,13
India,Telangana,"Financial Year (Apr - Mar), 2020",Hyderabad,Sunny/Clear,1476,178,74,1277,1351
India,Telangana,"Financial Year (Apr - Mar), 2021",Hyderabad,Foggy & Misty,194,30,38,140,178
India,Telangana,"Financial Year (Apr - Mar), 2021",Hyderabad,Hail/Sleet,13,1,7,5,12
India,Telangana,"Financial Year (Apr - Mar), 2021",Hyderabad,Others,1032,144,179,788,967
India,Telangana,"Financial Year (Apr - Mar), 2021",Hyderabad,Rainy,32,8,6,21,27
India,Telangana,"Financial Year (Apr - Mar), 2021",Hyderabad,Sunny/Clear,1002,114,210,757,967
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Agra,Foggy & Misty,350,181,151,65,216
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Agra,Hail/Sleet,62,49,34,20,54
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Agra,Others,61,51,14,21,35
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Agra,Rainy,173,85,85,45,130
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Agra,Sunny/Clear,439,250,398,99,497
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Allahabad(Prayagraj),Foggy & Misty,339,124,148,72,220
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Allahabad(Prayagraj),Hail/Sleet,233,90,96,55,151
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Allahabad(Prayagraj),Others,223,119,90,61,151
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Allahabad(Prayagraj),Rainy,241,130,127,76,203
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Allahabad(Prayagraj),Sunny/Clear,377,136,151,89,240
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Ghaziabad,Foggy & Misty,46,17,27,12,39
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Ghaziabad,Hail/Sleet,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Ghaziabad,Others,359,162,147,84,231
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Ghaziabad,Rainy,44,16,24,13,37
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Ghaziabad,Sunny/Clear,441,190,192,107,299
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Kanpur,Foggy & Misty,302,143,142,61,203
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Kanpur,Hail/Sleet,136,72,75,16,91
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Kanpur,Others,476,204,285,37,322
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Kanpur,Rainy,210,87,114,48,162
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Kanpur,Sunny/Clear,383,186,219,46,265
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Lucknow,Foggy & Misty,210,98,68,34,102
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Lucknow,Hail/Sleet,140,72,51,24,75
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Lucknow,Others,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Lucknow,Rainy,177,55,54,46,100
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Lucknow,Sunny/Clear,1158,356,334,320,654
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Meerut,Foggy & Misty,154,69,24,81,105
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Meerut,Hail/Sleet,84,32,14,48,62
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Meerut,Others,337,159,60,154,214
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Meerut,Rainy,130,53,22,75,97
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Meerut,Sunny/Clear,251,100,36,130,166
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Varanasi,Foggy & Misty,175,79,61,37,98
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Varanasi,Hail/Sleet,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Varanasi,Others,89,56,20,23,43
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Varanasi,Rainy,118,56,40,28,68
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Varanasi,Sunny/Clear,228,97,58,61,119
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Agra,Foggy & Misty,215,107,77,59,136
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Agra,Hail/Sleet,59,35,42,23,65
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Agra,Others,195,127,77,21,98
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Agra,Rainy,240,123,87,78,165
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Agra,Sunny/Clear,197,122,94,75,169
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Allahabad(Prayagraj),Foggy & Misty,213,98,22,116,138
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Allahabad(Prayagraj),Hail/Sleet,216,92,23,114,137
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Allahabad(Prayagraj),Others,209,107,24,99,123
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Allahabad(Prayagraj),Rainy,209,92,21,128,149
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Allahabad(Prayagraj),Sunny/Clear,305,128,31,154,185
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Ghaziabad,Foggy & Misty,187,83,79,34,113
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Ghaziabad,Hail/Sleet,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Ghaziabad,Others,109,61,52,31,83
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Ghaziabad,Rainy,142,59,56,39,95
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Ghaziabad,Sunny/Clear,270,123,110,64,174
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Kanpur,Foggy & Misty,364,172,197,17,214
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Kanpur,Hail/Sleet,109,49,65,9,74
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Kanpur,Others,414,195,247,24,271
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Kanpur,Rainy,161,69,87,21,108
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Kanpur,Sunny/Clear,176,78,97,14,111
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Lucknow,Foggy & Misty,270,109,89,75,164
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Lucknow,Hail/Sleet,147,60,45,36,81
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Lucknow,Others,125,52,38,35,73
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Lucknow,Rainy,219,81,73,57,130
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Lucknow,Sunny/Clear,185,72,61,45,106
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Meerut,Foggy & Misty,134,58,9,94,103
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Meerut,Hail/Sleet,18,6,3,31,34
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Meerut,Others,348,185,7,196,203
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Meerut,Rainy,37,21,3,18,21
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Meerut,Sunny/Clear,188,79,5,121,126
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Varanasi,Foggy & Misty,40,12,14,13,27
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Varanasi,Hail/Sleet,8,7,5,1,6
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Varanasi,Others,97,57,32,26,58
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Varanasi,Rainy,47,18,18,14,32
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Varanasi,Sunny/Clear,253,119,113,69,182
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Agra,Foggy & Misty,173,108,59,50,109
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Agra,Hail/Sleet,45,25,17,28,45
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Agra,Others,160,89,65,59,124
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Agra,Rainy,164,102,65,35,100
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Agra,Sunny/Clear,373,225,158,68,226
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Allahabad(Prayagraj),Foggy & Misty,222,97,50,92,142
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Allahabad(Prayagraj),Hail/Sleet,204,92,47,90,137
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Allahabad(Prayagraj),Others,243,114,54,102,156
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Allahabad(Prayagraj),Rainy,226,101,49,99,148
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Allahabad(Prayagraj),Sunny/Clear,270,131,53,115,168
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Ghaziabad,Foggy & Misty,208,91,87,49,136
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Ghaziabad,Hail/Sleet,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Ghaziabad,Others,139,77,61,28,89
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Ghaziabad,Rainy,153,78,76,43,119
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Ghaziabad,Sunny/Clear,324,149,128,79,207
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Kanpur,Foggy & Misty,383,173,237,25,262
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Kanpur,Hail/Sleet,117,59,73,15,88
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Kanpur,Others,490,205,276,62,338
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Kanpur,Rainy,171,78,97,23,120
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Kanpur,Sunny/Clear,193,83,129,17,146
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Lucknow,Foggy & Misty,211,67,63,52,115
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Lucknow,Hail/Sleet,129,37,57,42,99
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Lucknow,Others,109,35,55,38,93
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Lucknow,Rainy,181,63,54,59,113
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Lucknow,Sunny/Clear,160,59,55,46,101
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Meerut,Foggy & Misty,80,33,6,63,69
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Meerut,Hail/Sleet,1,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Meerut,Others,204,84,29,124,153
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Meerut,Rainy,10,5,1,8,9
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Meerut,Sunny/Clear,516,239,13,314,327
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Varanasi,Foggy & Misty,87,56,26,27,53
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Varanasi,Hail/Sleet,50,20,30,20,50
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Varanasi,Others,44,11,27,15,42
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Varanasi,Rainy,95,66,35,31,66
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Varanasi,Sunny/Clear,147,83,46,53,99
India,West Bengal,"Financial Year (Apr - Mar), 2019",Asansol Durgapur,Foggy & Misty,75,44,76,3,79
India,West Bengal,"Financial Year (Apr - Mar), 2019",Asansol Durgapur,Hail/Sleet,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2019",Asansol Durgapur,Others,164,126,97,27,124
India,West Bengal,"Financial Year (Apr - Mar), 2019",Asansol Durgapur,Rainy,5,3,2,0,2
India,West Bengal,"Financial Year (Apr - Mar), 2019",Asansol Durgapur,Sunny/Clear,202,140,109,38,147
India,West Bengal,"Financial Year (Apr - Mar), 2019",Kolkata,Foggy & Misty,147,8,65,45,110
India,West Bengal,"Financial Year (Apr - Mar), 2019",Kolkata,Hail/Sleet,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2019",Kolkata,Others,105,13,41,32,73
India,West Bengal,"Financial Year (Apr - Mar), 2019",Kolkata,Rainy,200,12,94,68,162
India,West Bengal,"Financial Year (Apr - Mar), 2019",Kolkata,Sunny/Clear,2048,234,1027,632,1659
India,West Bengal,"Financial Year (Apr - Mar), 2020",Asansol Durgapur,Foggy & Misty,48,36,33,6,39
India,West Bengal,"Financial Year (Apr - Mar), 2020",Asansol Durgapur,Hail/Sleet,1,0,1,0,1
India,West Bengal,"Financial Year (Apr - Mar), 2020",Asansol Durgapur,Others,190,150,85,25,110
India,West Bengal,"Financial Year (Apr - Mar), 2020",Asansol Durgapur,Rainy,2,1,1,0,1
India,West Bengal,"Financial Year (Apr - Mar), 2020",Asansol Durgapur,Sunny/Clear,187,128,83,12,95
India,West Bengal,"Financial Year (Apr - Mar), 2020",Kolkata,Foggy & Misty,50,2,19,14,33
India,West Bengal,"Financial Year (Apr - Mar), 2020",Kolkata,Hail/Sleet,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2020",Kolkata,Others,26,0,11,13,24
India,West Bengal,"Financial Year (Apr - Mar), 2020",Kolkata,Rainy,71,9,38,27,65
India,West Bengal,"Financial Year (Apr - Mar), 2020",Kolkata,Sunny/Clear,1536,190,776,503,1279
India,West Bengal,"Financial Year (Apr - Mar), 2021",Asansol Durgapur,Foggy & Misty,48,35,18,5,23
India,West Bengal,"Financial Year (Apr - Mar), 2021",Asansol Durgapur,Hail/Sleet,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2021",Asansol Durgapur,Others,188,159,75,15,90
India,West Bengal,"Financial Year (Apr - Mar), 2021",Asansol Durgapur,Rainy,8,6,2,0,2
India,West Bengal,"Financial Year (Apr - Mar), 2021",Asansol Durgapur,Sunny/Clear,154,102,77,32,109
India,West Bengal,"Financial Year (Apr - Mar), 2021",Kolkata,Foggy & Misty,52,0,31,11,42
India,West Bengal,"Financial Year (Apr - Mar), 2021",Kolkata,Hail/Sleet,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2021",Kolkata,Others,38,0,23,13,36
India,West Bengal,"Financial Year (Apr - Mar), 2021",Kolkata,Rainy,103,27,49,21,70
India,West Bengal,"Financial Year (Apr - Mar), 2021",Kolkata,Sunny/Clear,1524,169,819,451,1270
