Country,State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Number Of Persons Killed In Road Accident (UOM:Number),Number Of Grievously Injured Persons (UOM:Number),Number Of Minor Injured Persons (UOM:Number),Number Of Total Injured Persons (UOM:Number)
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Foggy & Misty,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Rainy,55,10,23,15,38
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Sunny/Clear,624,148,324,189,513
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Foggy & Misty,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Rainy,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Sunny/Clear,1185,340,476,310,786
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Foggy & Misty,21,8,7,6,13
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Hail/Sleet,163,62,80,37,117
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Rainy,131,31,69,47,116
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Sunny/Clear,117,37,45,33,78
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Foggy & Misty,14,8,7,1,8
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Rainy,98,30,62,17,79
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Sunny/Clear,463,153,249,87,336
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Foggy & Misty,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Rainy,36,11,13,16,29
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Sunny/Clear,445,142,228,151,379
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Foggy & Misty,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Rainy,1,1,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Sunny/Clear,1432,403,620,442,1062
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Foggy & Misty,8,7,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Rainy,17,11,12,3,15
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Sunny/Clear,321,118,148,127,275
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Foggy & Misty,11,5,6,2,8
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Others,304,122,174,58,232
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Rainy,32,9,22,4,26
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Sunny/Clear,357,136,200,47,247
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Foggy & Misty,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Rainy,25,13,13,3,16
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Sunny/Clear,439,133,192,141,333
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Foggy & Misty,57,21,10,40,50
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Hail/Sleet,0,0,0,0,0
