State,City Name,Type Of Weather,Lat,Long,Total Number Of Accidents  (UOM:Number),Possibility
Uttar Pradesh,Ghaziabad,Others,28.665353,77.439148,202.33333333333334,Medium
Uttar Pradesh,Ghaziabad,Rainy,28.665353,77.439148,113.0,Medium
Uttar Pradesh,Ghaziabad,Sunny/Clear,28.665353,77.439148,345.0,Low
Uttar Pradesh,Kanpur,Foggy & Misty,26.4609135,80.3217588,349.6666666666667,High
Uttar Pradesh,Kanpur,Hail/Sleet,26.4609135,80.3217588,120.66666666666667,High
Uttar Pradesh,Kanpur,Others,26.4609135,80.3217588,460.0,High
Uttar Pradesh,Kanpur,Rainy,26.4609135,80.3217588,180.66666666666666,High
Uttar Pradesh,Kanpur,Sunny/Clear,26.4609135,80.3217588,250.66666666666666,Low
Uttar Pradesh,Lucknow,Foggy & Misty,26.839281,80.923133,230.33333333333334,High
Uttar Pradesh,Lucknow,Hail/Sleet,26.839281,80.923133,138.66666666666666,High
Uttar Pradesh,Lucknow,Others,26.839281,80.923133,78.0,Medium
Uttar Pradesh,Lucknow,Rainy,26.839281,80.923133,192.33333333333334,High
Uttar Pradesh,Lucknow,Sunny/Clear,26.839281,80.923133,501.0,Low
Uttar Pradesh,Meerut,Foggy & Misty,28.980018,77.706356,122.66666666666667,Medium
Uttar Pradesh,Meerut,Hail/Sleet,28.980018,77.706356,34.333333333333336,High
Uttar Pradesh,Meerut,Others,28.980018,77.706356,296.3333333333333,High
Uttar Pradesh,Meerut,Rainy,28.980018,77.706356,59.0,Medium
Uttar Pradesh,Meerut,Sunny/Clear,28.980018,77.706356,318.3333333333333,Low
Uttar Pradesh,Varanasi,Foggy & Misty,25.31774,83.005811,100.66666666666667,Medium
Uttar Pradesh,Varanasi,Hail/Sleet,25.31774,83.005811,19.333333333333332,Medium
Uttar Pradesh,Varanasi,Others,25.31774,83.005811,76.66666666666667,Medium
Uttar Pradesh,Varanasi,Rainy,25.31774,83.005811,86.66666666666667,Medium
Uttar Pradesh,Varanasi,Sunny/Clear,25.31774,83.005811,209.33333333333334,Low
West Bengal,Asansol,Foggy & Misty,23.683333,86.983333,57.0,Medium
West Bengal,Asansol,Hail/Sleet,23.683333,86.983333,0.3333333333333333,Low
West Bengal,Asansol,Others,23.683333,86.983333,180.66666666666666,Medium
West Bengal,Asansol,Rainy,23.683333,86.983333,5.0,Low
West Bengal,Asansol,Sunny/Clear,23.683333,86.983333,181.0,Low
West Bengal,Kolkata ,Foggy & Misty,22.562627,88.363044,83.0,Medium
West Bengal,Kolkata ,Hail/Sleet,22.562627,88.363044,0.0,Low
West Bengal,Kolkata ,Others,22.562627,88.363044,56.333333333333336,Low
West Bengal,Kolkata ,Rainy,22.562627,88.363044,124.66666666666667,Medium
West Bengal,Kolkata ,Sunny/Clear,22.562627,88.363044,1702.6666666666667,High
