State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Lat,Long
Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Sunny/Clear,553,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Foggy & Misty,18,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Hail/Sleet,0,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Others,0,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Rainy,81,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Sunny/Clear,846,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2019",Vadodara,Foggy & Misty,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2019",Vadodara,Hail/Sleet,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2019",Vadodara,Others,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2019",Vadodara,Rainy,55,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2019",Vadodara,Sunny/Clear,624,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Foggy & Misty,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Hail/Sleet,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Others,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Rainy,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Sunny/Clear,1185,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Foggy & Misty,21,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Hail/Sleet,163,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Others,0,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Rainy,131,22.291606,70.793217
